addAppointment,2020-05-31 17:33:02.912main
showAppointments,2020-05-31 17:33:16.208main
deleteAppointment,2020-05-31 17:33:26.78main
showAppointments,2020-05-31 17:33:29.793main
showDoctors,2020-05-31 17:47:22.081AWT-EventQueue-0
showDoctors,2020-05-31 17:47:22.111AWT-EventQueue-0
showNurses,2020-05-31 17:47:24.463AWT-EventQueue-0
showNurses,2020-05-31 17:47:24.491AWT-EventQueue-0
showAppointments,2020-05-31 17:47:26.602AWT-EventQueue-0
showAppointments,2020-05-31 17:47:26.63AWT-EventQueue-0
showPrescriptions,2020-05-31 17:47:28.721AWT-EventQueue-0
showPrescriptions,2020-05-31 17:47:28.762AWT-EventQueue-0
addAppointment,2020-05-31 17:47:31.413AWT-EventQueue-0
deleteAppointment,2020-05-31 17:47:48.87AWT-EventQueue-0
